street,original,house_number,postal_code,city,full_address,wbz,bezirk,kandidat,farbe,wahlberechtigte,latitude,longitude,kreistagkandidat
Wilhelmstraße,Wilhelmstraße,,51588,Nümbrecht,"Wilhelmstraße, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9033978,7.5409481,Marcus Schmitz
Zur alten Burg,Zur alten Burg,,51588,Nümbrecht,"Zur alten Burg, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9033978,7.5409481,Marcus Schmitz
Zur Flur,Zur Flur,,51588,Nümbrecht,"Zur Flur, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9033978,7.5409481,Marcus Schmitz
Zur Seifen,Zur Seifen,,51588,Nümbrecht,"Zur Seifen, 51588 Nümbrecht",WBZ 60,WBZ 60 - Bierenbachtal West,Ulrike Herrgesell,#6C5CE7,891,50.9033978,7.5409481,Marcus Schmitz
Am Bierenbach,Am Bierenbach,,51588,Nümbrecht,"Am Bierenbach, 51588 Nümbrecht",WBZ 70,WBZ 70 - Bierenbachtal Ost,Thomas Hellbusch,#A8E6CF,932,50.9256591,7.555249,Marcus Schmitz
Am Sportplatz,Am Sportplatz,,51588,Nümbrecht,"Am Sportplatz, 51588 Nümbrecht",WBZ 70,WBZ 70 - Bierenbachtal Ost,Thomas Hellbusch,#A8E6CF,932,50.9022118,7.5936675,Marcus Schmitz
Am Weiher,Am Weiher,,51588,Nümbrecht,"Am Weiher, 51588 Nümbrecht",WBZ 70,WBZ 70 - Bierenbachtal Ost,Thomas Hellbusch,#A8E6CF,932,50.9133761,7.5027602,Marcus Schmitz
An den Fischteichen,An den Fischteichen,,51588,Nümbrecht,"An den Fischteichen, 51588 Nümbrecht",WBZ 70,WBZ 70 - Bierenbachtal Ost,Thomas Hellbusch,#A8E6CF,932,50.9033978,7.5409481,Marcus Schmitz
Berghausen,Berghausen,,51588,Nümbrecht,"Berghausen, 51588 Nümbrecht",WBZ 70,WBZ 70 - Bierenbachtal Ost,Thomas Hellbusch,#A8E6CF,932,50.9033978,7.5409481,Marcus Schmitz
Birkenweg,Birkenweg,,51588,Nümbrecht,"Birkenweg, 51588 Nümbrecht",WBZ 70,WBZ 70 - Bierenbachtal Ost,Thomas Hellbusch,#A8E6CF,932,50.907246,7.5935915,Marcus Schmitz
Bruchweg,Bruchweg,,51588,Nümbrecht,"Bruchweg, 51588 Nümbrecht",WBZ 70,WBZ 70 - Bierenbachtal Ost,Thomas Hellbusch,#A8E6CF,932,50.9033978,7.5409481,Marcus Schmitz
